GENE; control 20 min;MazF 20 min; control 1h;MazF 1h;MazF regulon
gyrA;-1.388355494;-4.351074696;1.112366438;-5.107803345;no
pepD;-1.506352663;-4.921390057;1.201633811;-5.107803345;no
atpC;-1.680382013;-5.107803345;0.673556447;-5.107803345;no
fabH;-2;-5.158429146;0.551885068;-5.107803345;no
eda;-2.20423317;-5.442222118;1.109694839;-5.107803345;no
acrA;-1.296899319;-5.380821705;0.949348152;-5.107803345;no
folD;-1.954557061;-5.442222118;0.55973649;-5.107803345;no
glmU;-2.351074457;-5.011588097;0.316145748;-5.107803345;no
rpiA;-1.862496495;-5.210896969;0.683471859;-5.107803345;no
yhbY;-1.816037059;-5.321928024;0.592636466;-5.107803345;no
rpsE;-1.461958528;-5.158429146;0.956800103;-5.158429146;no
rpsL;-1.415037513;-5.058893681;0.925239921;-5.158429146;no
ompT;-2.293359041;-3.083141327;1.427069664;-5.158429146;no
purT;-3.158429384;-5.573466778;0.027154127;-5.158429146;no
tolC;-1.395928741;-5.158429146;1.002882481;-5.158429146;no
rfbB;-1.461958528;-5.380821705;0.964953065;-5.158429146;no
rfbD;-1.486003995;-5.210896969;1.006477594;-5.158429146;no
tsf;-1.60823226;-5.380821705;0.969380736;-5.210896969;no
atpD;-1.643856168;-5.321928024;0.670840323;-5.210896969;no
rplY;-1.380821824;-5.442222118;1.006477594;-5.210896969;no
ppiB;-2.011588097;-5.442222118;0.635057807;-5.210896969;no
can;-1.905088425;-5.011588097;0.711054265;-5.210896969;no
tktA;-0.035046931;-5.380821705;2.456017494;-5.26534462;no
pfkA;-1.905088425;-5.573466778;0.945607722;-5.26534462;no
dnaJ;-0.870387256;-4.321928024;1.314406514;-5.26534462;no
fusA;-1.675765514;-5.573466778;0.874206722;-5.321928024;no
ompA;-1.518701077;-5.643856049;1.458906889;-5.321928024;no
aceF;-2.689659834;-5.321928024;0.725959301;-5.321928024;no
icd;-1.032093644;-5.506352901;1.771885514;-5.321928024;no
rplM;-1.531156063;-5.573466778;0.834306717;-5.321928024;no
glnA;-1.599462032;-5.380821705;1.457856894;-5.321928024;no
atpG;-1.630393863;-5.442222118;0.69510293;-5.321928024;no
aspS;-1.621488452;-5.643856049;0.974529326;-5.321928024;no
lon;-0.915935814;-4.442222118;1.376290321;-5.321928024;no
upp;-1.564904809;-5.573466778;1.017209291;-5.321928024;no
glyQ;-1.954557061;-5.380821705;0.568518639;-5.321928024;no
tolB;-2.101598263;-4.878321171;0.878921449;-5.321928024;no
bioB;-3.023269653;-5.380821705;1.35332334;-5.321928024;no
degP;-1.977099538;-5.573466778;0.532067537;-5.321928024;no
ghrB;-1.831358075;-5.321928024;0.843179941;-5.321928024;no
"tufB;tufA";-1.582080007;-5.573466778;0.882056117;-5.380821705;no
aceE;-2.522840738;-5.506352901;0.793271661;-5.380821705;no
rpsD;-1.442222357;-5.506352901;0.919149399;-5.380821705;no
pgk;-1.761213183;-5.506352901;0.930548131;-5.380821705;no
serA;-2.258424997;-5.321928024;1.776946187;-5.380821705;no
adhE;-1.377069712;-5.717856884;1.684818745;-5.442222118;no
gpmA;-2.029146433;-5.573466778;0.79576689;-5.442222118;no
sucA;-0.340075403;-5.573466778;2.113367081;-5.442222118;no
ettA;-1.446148038;-5.795859337;0.777367115;-5.442222118;no
tsx;-2.434402704;-5.643856049;0.151858747;-5.442222118;no
prfC;-1.85725987;-2.564904928;0.466757596;-5.442222118;no
ribE;-1.556393385;-5.643856049;0.857582986;-5.442222118;no
ppiC;-2.373327255;-5.158429146;0.078609824;-5.442222118;no
purA;-2.139235735;-5.643856049;0.770617604;-5.506352901;no
carB;-2.120294094;-5.442222118;1.020057678;-5.506352901;no
serS;-2.035046816;-5.26534462;0.747602224;-5.506352901;no
rpsC;-1.518701077;-5.795859337;0.88752526;-5.573466778;no
rplV;-1.573466897;-5.795859337;0.874993622;-5.573466778;no
rplO;-1.510457039;-5.210896969;0.909197092;-5.573466778;no
gltX;-1.888968587;-5.643856049;0.5772475;-5.573466778;no
gpmI;-2.064917564;-5.380821705;0.794103861;-5.573466778;no
pyrC;-1.689659834;-4.158429146;1.259423137;-5.573466778;no
hisS;-1.761213183;-5.717856884;0.783247054;-5.573466778;no
ompC;-1.454031587;-5.643856049;0.847996891;-5.643856049;no
rpoC;-1.514573216;-5.878321171;1.027861834;-5.643856049;no
flu;-1.67116344;-3.365871429;1.371837616;-5.643856049;no
dacA;-1.862496495;-5.795859337;0.669026792;-5.643856049;no
gpt;-1.954557061;-5.965784073;0.360645235;-5.643856049;no
